CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1340189.cif,Ho2Ni2Sn,"Mo2FeB2,tP10,127",Sn1,Sn,Ho8,Ni4,Ni,4,Ho6,Sn2Ni,,,,,,,,
1634616.cif,Dy2PbPt2,"Mo2FeB2,tP10,127",Pb1,Pb,Dy8,Pt4,Pt,4,Dy6,Pb2Pt,,,,,,,,
1231070.cif,InLa2Pt2,"Mo2FeB2,tP10,127",In1,In,La8,Pt4,Pt,4,La6,In2Pt,,,,,,,,
1232096.cif,InNp2Pd2,"Mo2FeB2,tP10,127",In1,In,Np8,Pd4,Pd,4,Np6,In2Pd,,,,,,,,
1310251.cif,B2FeMo2,"Mo2FeB2,tP10,127",Fe1,Fe,Mo8,B4,B,4,Mo6,Fe2B,,,,,,,,
1937501.cif,Cu2Gd2Mg,"Mo2FeB2,tP10,127",Mg1,Mg,Gd8,Cu4,Cu,4,Gd6,Mg2Cu,,,,,,,,
1233537.cif,Ce2Cu2In,"Mo2FeB2,tP10,127",In1,In,Ce8,Cu4,Cu,4,Ce6,In2Cu,,,,,,,,
1810614.cif,Au2CdSm2,"Mo2FeB2,tP10,127",Cd1,Cd,Sm8,Au4,Au,4,Sm6,Cd2Au,,,,,,,,
1826990.cif,InPt2U2,"Mo2FeB2,tP10,127",In1,In,U8,Pt4,Pt,4,U6,In2Pt,,,,,,,,
1231060.cif,InPd2Sm2,"Mo2FeB2,tP10,127",In1,In,Sm8,Pd4,Pd,4,Sm6,In2Pd,,,,,,,,
1415458.cif,Au2Ce2Pb,"Mo2FeB2,tP10,127",Pb1,Pb,Ce8,Au4,Au,4,Ce6,Pb2Au,,,,,,,,
1415416.cif,Au2InTb2,"Mo2FeB2,tP10,127",In1,In,Tb8,Au4,Au,4,Tb6,In2Au,,,,,,,,
1709269.cif,Cu2Dy2In,"Mo2FeB2,tP10,127",In1,In,Dy8,Cu4,Cu,4,Dy6,In2Cu,,,,,,,,
1231098.cif,InPr2Rh2,"Mo2FeB2,tP10,127",In1,In,Pr8,Rh4,Rh,4,Pr6,In2Rh,,,,,,,,
1606153.cif,Cu2Dy2In,"Mo2FeB2,tP10,127",In1,In,Dy8,Cu4,Cu,4,Dy6,In2Cu,,,,,,,,
1415464.cif,Cu2MgPr2,"Mo2FeB2,tP10,127",Mg1,Mg,Pr8,Cu4,Cu,4,Pr6,Mg2Cu,,,,,,,,
1236270.cif,Ce2InSi2,"Mo2FeB2,tP10,127",In1,In,Ce8,Si4,Si,4,Ce6,In2Si,,,,,,,,
