CIF,Formula,Structure Type,tcsp_center_label,tcsp_center,tcsp_prism_formula,tcsp_caps_formula,tctp_1_center,tctp_1_count,tctp_1_prism_formula,tctp_1_cap_formula,tctp_2_center,tctp_2_count,tctp_2_prism_formula,tctp_2_cap_formula,tctp_3_center,tctp_3_count,tctp_3_prism_formula,tctp_3_cap_formula
1962150.cif,Dy11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Pd4,Pd,4,Dy6,In3,,,,,,,,
1840445.cif,Co4Er11In9,"Nd11Pd4In9,oS48,65",In3,In,Er8,Co4,Co,4,Er6,In3,,,,,,,,
1942246.cif,In9Pd4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Pd4,Pd,4,Tb6,In3,,,,,,,,
1630075.cif,In9Ni4Sm11,"Nd11Pd4In9,oS48,65",In3,In,Sm8,Ni4,Ni,4,Sm6,In3,,,,,,,,
1962152.cif,Er11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Er8,Pd4,Pd,4,Er6,In3,,,,,,,,
1942242.cif,In9Pd4Pr11,"Nd11Pd4In9,oS48,65",In3,In,Pr8,Pd4,Pd,4,Pr6,In3,,,,,,,,
1630074.cif,In9Nd11Ni4,"Nd11Pd4In9,oS48,65",In3,In,Nd8,Ni4,Ni,4,Nd6,In3,,,,,,,,
1350692.cif,Gd11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Ni4,Ni,4,Gd6,In3,,,,,,,,
1141637.cif,Ce11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Ce8,Ni4,Ni,4,Ce6,In3,,,,,,,,
1962149.cif,In9Pd4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Pd4,Pd,4,Tb6,In3,,,,,,,,
1229701.cif,Co4Ho11In9,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Co4,Co,4,Ho6,In3,,,,,,,,
1630072.cif,Ce11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Ce8,Ni4,Ni,4,Ce6,In3,,,,,,,,
1962151.cif,Ho11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Pd4,Pd,4,Ho6,In3,,,,,,,,
1630077.cif,In9Ni4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Ni4,Ni,4,Tb6,In3,,,,,,,,
1942244.cif,In9Pd4Sm11,"Nd11Pd4In9,oS48,65",In3,In,Sm8,Pd4,Pd,4,Sm6,In3,,,,,,,,
1222164.cif,Ce11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Ce8,Pd4,Pd,4,Ce6,In3,,,,,,,,
1942245.cif,Gd11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Pd4,Pd,4,Gd6,In3,,,,,,,,
1217716.cif,In9Nd11Pd4,"Nd11Pd4In9,oS48,65",In3,In,Nd8,Pd4,Pd,4,Nd6,In3,,,,,,,,
1723884.cif,In9Ni4Tm11,"Nd11Pd4In9,oS48,65",In3,In,Tm8,Ni4,Ni,4,Tm6,In3,,,,,,,,
1723879.cif,Gd11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Ni4,Ni,4,Gd6,In3,,,,,,,,
1031035.cif,Ce11In9Ru4,"Nd11Pd4In9,oS48,65",In3,In,Ce8,Ru4,Ru,4,Ce6,In3,,,,,,,,
1723878.cif,In9Nd11Ni4,"Nd11Pd4In9,oS48,65",In3,In,Nd8,Ni4,Ni,4,Nd6,In3,,,,,,,,
1031037.cif,Ce11In9Ru4,"Nd11Pd4In9,oS48,65",In3,In,Ce8,Ru4,Ru,4,Ce6,In3,,,,,,,,
1723883.cif,Er11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Er8,Ni4,Ni,4,Er6,In3,,,,,,,,
1229705.cif,Co4Er11In9,"Nd11Pd4In9,oS48,65",In3,In,Er8,Co4,Co,4,Er6,In3,,,,,,,,
1833533.cif,In9Ni4Tm11,"Nd11Pd4In9,oS48,65",In3,In,Tm8,Ni4,Ni,4,Tm6,In3,,,,,,,,
1930320.cif,Co4Gd11In9,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Co4,Co,4,Gd6,In3,,,,,,,,
1049952.cif,In9Pd4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Pd4,Pd,4,Tb6,In3,,,,,,,,
1237687.cif,Co4In9Sc11,"Nd11Pd4In9,oS48,65",In3,In,Sc8,Co4,Co,4,Sc6,In3,,,,,,,,
1723877.cif,Ce11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Ce8,Ni4,Ni,4,Ce6,In3,,,,,,,,
1049951.cif,Gd11In9Pd4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Pd4,Pd,4,Gd6,In3,,,,,,,,
1350694.cif,Ho11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Ni4,Ni,4,Ho6,In3,,,,,,,,
1723876.cif,In9La11Ni4,"Nd11Pd4In9,oS48,65",In3,In,La8,Ni4,Ni,4,La6,In3,,,,,,,,
1229704.cif,Co4Dy11In9,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Co4,Co,4,Dy6,In3,,,,,,,,
1723882.cif,Ho11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Ho8,Ni4,Ni,4,Ho6,In3,,,,,,,,
1229702.cif,Co4Gd11In9,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Co4,Co,4,Gd6,In3,,,,,,,,
1723886.cif,In9Ni4Y11,"Nd11Pd4In9,oS48,65",In3,In,Y8,Ni4,Ni,4,Y6,In3,,,,,,,,
1058474.cif,Gd11In9Ru4,"Nd11Pd4In9,oS48,65",In3,In,Gd8,Ru4,Ru,4,Gd6,In3,,,,,,,,
1350693.cif,Dy11In9Ni4,"Nd11Pd4In9,oS48,65",In3,In,Dy8,Ni4,Ni,4,Dy6,In3,,,,,,,,
1058478.cif,In9Ru4Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Ru4,Ru,4,Tb6,In3,,,,,,,,
1058472.cif,In9Ru4Sm11,"Nd11Pd4In9,oS48,65",In3,In,Sm8,Ru4,Ru,4,Sm6,In3,,,,,,,,
1930321.cif,Co4In9Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Co4,Co,4,Tb6,In3,,,,,,,,
1229703.cif,Co4In9Tb11,"Nd11Pd4In9,oS48,65",In3,In,Tb8,Co4,Co,4,Tb6,In3,,,,,,,,
1723885.cif,In9Lu11Ni4,"Nd11Pd4In9,oS48,65",In3,In,Lu8,Ni4,Ni,4,Lu6,In3,,,,,,,,
1123566.cif,Mg5Si6,"Mg5Si6,a,mS22,12",Si3,Si,Mg4Si4,Mg2Si2,Si,1,Mg6,Si2Mg,Si,1,Mg4Si2,Mg2Si,,,,
1123566.cif,Mg5Si6,"Mg5Si6,a,mS22,12",Mg1,Mg,Mg8,Si4,Si,2,Mg6,Si2Mg,Si,2,Mg4Si2,Mg2Si,,,,
1935126.cif,Mg5Si6,"Mg5Si6,a,mS22,12",Si3,Si,Mg4Si4,Mg2Si2,Si,1,Mg6,Si2Mg,Si,1,Mg4Si2,Mg2Si,,,,
1935126.cif,Mg5Si6,"Mg5Si6,a,mS22,12",Mg1,Mg,Mg8,Si4,Si,2,Mg6,Si2Mg,Si,2,Mg4Si2,Mg2Si,,,,
1952842.cif,Cs2HgSe2,"Cs2HgSe2,oP10,55",Hg1,Hg,Cs8,Se4,Se,4,Cs6,Hg2Se,,,,,,,,
1703882.cif,Al3B2Ru4,"Ru4Al3B2,tP18,123",Al3,Al,Ru8,B4,B,4,Ru6,Al3,,,,,,,,
1535328.cif,Al3B2Ru4,"Ru4Al3B2,tP18,123",Al1,Al,Ru8,B4,B,4,Ru6,Al3,,,,,,,,
1222394.cif,CeMgSi2,"MgCeSi2,tI32,141",Mg,Mg,Ce4Mg4,Si4,Si,4,Ce4Mg2,Mg2Si,,,,,,,,
1222396.cif,CeMgSi2,"MgCeSi2,tI32,141",Mg,Mg,Ce4Mg4,Si4,Si,4,Ce4Mg2,Mg2Si,,,,,,,,
1729086.cif,CeMgSi2,"MgCeSi2,tI32,141",Mg1,Mg,Ce4Mg4,Si4,Si,4,Ce4Mg2,Mg2Si,,,,,,,,
1904569.cif,P3Pd4Zr3,"Zr3Pd4P3,oP40,62",Pd1,Pd,Pd4Zr4,P3Zr,P,1,Zr4Pd2,Pd2Zr,P,1,Zr4Pd2,Pd2Zr,P,1,Zr4Pd2,Pd3
1904569.cif,P3Pd4Zr3,"Zr3Pd4P3,oP40,62",Pd2,Pd,Pd4P2Zr2,Zr2PPd,P,1,Zr4Pd2,Pd2Zr,,,,,,,,
1904569.cif,P3Pd4Zr3,"Zr3Pd4P3,oP40,62",Pd3,Pd,Zr4P2Pd2,Zr2PPd,P,1,Zr4Pd2,Pd3,,,,,,,,
1904569.cif,P3Pd4Zr3,"Zr3Pd4P3,oP40,62",Pd4,Pd,Zr4P2Pd2,P2Zr2,P,1,Zr4Pd2,Pd2Zr,P,1,Zr4Pd2,Pd3,,,,
