,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
855,"Y3Co2,oP20,58",261998.cif,Y3,yes,yes,"[['Co1', 1]]",Y6Co2,Y3Co,1,Co1,Y6,Co2Y,,,,,,
854,"CePt2In2,mP20,11",1804598.cif,In4,yes,yes,"[['Pt4', 1]]",Ce4In2Pt2,Pt2CeIn,1,Pt4,Ce4In2,In3,,,,,,
440,"Sm25Ni49P33,hP107,187",1810860.cif,Ni8,yes,yes,"[['P3', 1]]",Ni4P2Sm2,P2Sm2,1,P3,Ni4Sm2,Ni3,,,,,,
173,"Y2Rh3Sn5,oS40,36",1902867.cif,Sn2,yes,yes,"[['Rh3', 1]]",Sn4Rh2Y2,Rh2SnY,1,Rh3,Sn4Y2,Sn2Y,,,,,,
171,"Y2Rh3Sn5,oS40,36",1902867.cif,Sn3,yes,yes,"[['Rh3', 1]]",Sn4Rh2Y2,Y2RhSn,1,Rh3,Sn4Y2,Sn2Y,,,,,,
73,"YNi5Si3,oP36,62",1007703.cif,Si3,yes,yes,"[['Ni1', 1]]",Ni6Y2,Ni3Si,1,Ni1,Ni4Si2,Si2Ni,,,,,,
74,"YNi5Si3,oP36,62",1007703.cif,Ni3,yes,yes,"[['Si2', 1]]",Ni4Si2Y2,Si2NiY,1,Si2,Ni4Y2,Ni3,,,,,,
75,"YNi5Si3,oP36,62",1007703.cif,Ni4,yes,yes,"[['Si2', 1]]",Ni4Si2Y2,Si2NiY,1,Si2,Ni4Y2,Ni3,,,,,,
852,"CePt2In2,mP20,11",1804598.cif,In1,yes,yes,"[['Pt4', 1]]",In4Ce2Pt2,Ce2Pt2,1,Pt4,Ce4In2,In3,,,,,,
850,"CaMn2Bi2,mP10,11",1048717.cif,Mn2,yes,yes,"[['Mn1', 1]]",Bi4Mn4,Bi2CaMn,1,Mn1,Mn4Bi2,Bi2Mn,,,,,,
849,"Au2YbIn4,mP14,11",1630666.cif,In2,yes,yes,"[['Au2', 1]]",In4Au2Yb2,In2AuYb,1,Au2,In4Yb2,In3,,,,,,
848,"Au2YbIn4,mP14,11",1630666.cif,In1,yes,yes,"[['Au1', 1]]",In4Au2Yb2,In2AuYb,1,Au1,In4Yb2,In3,,,,,,
95,"NiBi3,oP16,62",1947221.cif,Bi3,yes,yes,"[['Ni1', 1]]",Bi6Ni2,Bi3Ni,1,Ni1,Bi4Ni2,Bi3,,,,,,
878,"Au2Eu2Sn5,mP18,11",1415289.cif,Sn3,yes,yes,"[['Au1', 1]]",Sn6Eu2,Eu2AuSn,1,Au1,Eu4Sn2,Sn3,,,,,,
492,"Ca28Ga11,oI78,44",1240886.cif,Ca9,yes,yes,"[['Ga4', 1]]",Ca6Ga2,Ca2Ga2,1,Ga4,Ca6,Ca3,,,,,,
994,"Y7Te2,oP36,62",1622962.cif,Y6,yes,yes,"[['Y7', 1]]",Y8,Y3Te,1,Y7,Y6,Y3,,,,,,
672,"Eu10Ni21As15.5,hP92,176",1928382.cif,Ni7,yes,yes,"[['As3', 1]]",Ni6As2,Ni2AsEu,1,As3,Ni4Eu2,Ni3,,,,,,
490,"Ca28Ga11,oI78,44",1240886.cif,Ca5,yes,yes,"[['Ga2', 1]]",Ca6Ga2,Ca3Ga,1,Ga2,Ca6,Ca3,,,,,,
689,"Tm13Ni25As19,hP57,174",1810648.cif,Ni7,yes,yes,"[['As6', 1]]",Ni4As2Tm2,As2NiTm,1,As6,Tm4Ni2,Ni3,,,,,,
368,"Ce3Pd4Sn6,oP52,62",1004570.cif,Pd4,yes,yes,"[['Sn4', 1]]",Ce4Pd2Sn2,Sn3Ce,1,Sn4,Ce6,Pd3,,,,,,
367,"Ce3Pd4Sn6,oP52,62",1004570.cif,Pd3,yes,yes,"[['Sn4', 1]]",Ce4Pd2Sn2,Sn3Ce,1,Sn4,Ce6,Pd3,,,,,,
484,"Ca3Ga5,oS32,63",1250610.cif,Ga2,yes,yes,"[['Ga1', 1]]",Ca4Ga4,Ca2Ga2,1,Ga1,Ca6,Ga2Ca,,,,,,
349,"Eu3Co2In15,tP40,127",1125020.cif,In3,yes,yes,"[['Co1', 1]]",In8,Eu3Co,1,Co1,In6,In3,,,,,,
880,"Au2Eu2Sn5,mP18,11",1415289.cif,Sn5,yes,yes,"[['Au1', 1]]",Sn4Au2Eu2,Eu2AuSn,1,Au1,Eu4Sn2,Sn3,,,,,,
178,"Ba3Mg10Si7,hP40,176",1041865.cif,Mg3,yes,yes,"[['Si1', 1]]",Mg4Ba2Si2,Ba2Si2,1,Si1,Ba4Mg2,Mg3,,,,,,
245,"Sc2Te,oP36,62",1110976.cif,Sc1,yes,yes,"[['Te3', 1]]",Sc8,Sc2Te2,1,Te3,Sc6,Sc3,,,,,,
903,"Sr4Au9In13,hP26,187",1123874.cif,In3,yes,yes,"[['Au2', 1]]",In4Au2Sr2,Au2InSr,1,Au2,Sr4In2,In3,,,,,,
902,"Ce3Co3Al4,oP40,62",538470.cif,Al2,yes,yes,"[['Co2', 1]]",Ce4Al2Co2,Co2AlCe,1,Co2,Al4Ce2,Ce2Al,,,,,,
897,"Sc4Pt7Si2,oP26,55",1931034.cif,Pt2,yes,yes,"[['Si', 1]]",Sc6Pt2,Pt3Si,1,Si,Sc4Pt2,Pt3,,,,,,
99,"CeFe2Al8,oP44,55",1615334.cif,Al7,yes,yes,"[['Fe2', 1]]",Al8,Ce2Fe2,1,Fe2,Al6,Al3,,,,,,
68,"Er5Zr3Ni16As12,hP36,189",1803018.cif,Ni(2),yes,yes,"[['As(2)', 1]]",Ni4As2Er2,As2ErZr,1,As(2),Ni4Er2,Ni2Zr,,,,,,
177,"Ba3Mg10Si7,hP40,176",1041865.cif,Mg1,yes,yes,"[['Si1', 1]]",Mg4Ba2Si2,Si2BaMg,1,Si1,Ba4Mg2,Mg3,,,,,,
197,"Li6Eu5Sn9,oS80,63",1121837.cif,Li1,yes,yes,"[['Sn4', 1]]",Eu4Li2Sn2,Li2Sn2,1,Sn4,Eu6,Sn2Li,,,,,,
196,"Li6Eu5Sn9,oS80,63",1121837.cif,Li2,yes,yes,"[['Sn5', 1]]",Eu4Sn4,Li2EuSn,1,Sn5,Eu6,Sn2Li,,,,,,
195,"Pr3Pt4Ge6,oP52,62",1711643.cif,Pt2,yes,yes,"[['Ge1', 1]]",Pr4Ge2Pt2,Ge3Pr,1,Ge1,Pr6,Pt3,,,,,,
240,"Zr3NiSb7,oP44,62",1323964.cif,Sb1,yes,yes,"[['Zr1', 1]]",Sb4Ni2Zr2,Sb3Zr,1,Zr1,Sb6,Sb3,,,,,,
203,"Yb6Co30P19,hP55,174",1407131.cif,Co4,yes,yes,"[['P6', 1]]",Co4P2Yb2,P2CoYb,1,P6,Co4Yb2,Co3,,,,,,
157,"Mg5Dy5Fe4Al12Si6,tP32,123",1634042.cif,Al1,yes,yes,"[['Al2', 1]]",Dy2Fe2Mg2Si2,Al3Si,1,Al2,Dy4Mg2,Al2Mg,,,,,,
124,"Ce2Pt7Ge4,oP52,62",1233570.cif,Pt3,yes,yes,"[['Ge1', 1]]",Pt4Ce2Ge2,Pt2CeGe,1,Ge1,Pt4Ce2,Pt3,,,,,,
170,"Li2Ce2Ge3,oS28,63",1406900.cif,Li,yes,yes,"[['Ge1', 1]]",Ce4Ge2Li2,Ge2CeLi,1,Ge1,Ce6,Ge2Li,,,,,,
55,"Nd2Ni7P4,oP26,31",1615302.cif,Ni3,yes,yes,"[['P3', 1]]",Ni4Nd2P2,Nd2P2,1,P3,Ni4Nd2,Ni3,,,,,,
49,"EuAl2Ge,oP16,62",1626856.cif,Al2,yes,yes,"[['Al1', 1]]",Al4Eu2Ge2,Eu3Al,1,Al1,Eu4Al2,Ge2Al,,,,,,
5,"MgCuAl2,oS16,63",1260698.cif,Al1,yes,yes,"[['Cu1', 1]]",Mg4Al2Cu2,Al2CuMg,1,Cu1,Al4Mg2,Al2Mg,,,,,,
10,"CeNiSi2,oS16,63",559010.cif,Ni1,yes,yes,"[['Si1', 1]]",Ce4Ni2Si2,Si3Ce,1,Si1,Ce4Si2,Ce2Ni,,,,,,
232,"Hf2Co4P3,hP36,189",303265.cif,Co2,yes,yes,"[['P3', 1]]",Co4Hf2P2,Hf2P2,1,P3,Co4Hf2,Co2Hf,,,,,,
230,"YbFeGe,mS12,12",1410634.cif,Fe,yes,yes,"[['Ge', 1]]",Yb4Fe2Ge2,Yb2FeGe,1,Ge,Yb4Fe2,FeGeYb,,,,,,
647,"Er17Ru6Te3,mS104,12",1220943.cif,Er6,yes,yes,"[['Te2', 1]]",Er6Ru2,Er2RuTe,1,Te2,Er6,Er3,,,,,,
118,"Sr11Cd6Sb12,mS58,12",1120592.cif,Cd1,yes,yes,"[['Sb4', 1]]",Sr6Sb2,Sb3Sr,1,Sb4,Sr6,Cd2Sb,,,,,,
119,"Cu4Nb5Si4,tI26,87",303263.cif,Cu,yes,yes,"[['Si', 1]]",Cu4Nb2Si2,Nb2CuSi,1,Si,Nb4Cu2,Nb2Cu,,,,,,
127,"Ce2Pt7Ge4,oP52,62",1233570.cif,Pt5,yes,yes,"[['Ge3', 1]]",Pt4Ce2Ge2,Ge2CePt,1,Ge3,Ce4Pt2,Pt3,,,,,,
191,"Pr3Pt4Ge6,oP52,62",1711643.cif,Pt4,yes,yes,"[['Ge1', 1]]",Pr4Ge2Pt2,Ge3Pr,1,Ge1,Pr6,Pt3,,,,,,
190,"Pr3Pt4Ge6,oP52,62",1711643.cif,Pt3,yes,yes,"[['Ge1', 1]]",Pr4Ge2Pt2,Ge3Pr,1,Ge1,Pr6,Pt3,,,,,,
131,"Hf3Ni2Si3,oS32,63",1407105.cif,Si1,yes,yes,"[['Si1', 1]]",Hf4Ni2Si2,Hf2NiSi,1,Si1,Hf4Ni2,HfNiSi,,,,,,
101,"CeFe2Al8,oP44,55",1615334.cif,Al6,yes,yes,"[['Fe2', 1]]",Al8,Fe3Ce,1,Fe2,Al6,Al3,,,,,,
182,"Nb5P3,oP64,62",1825491.cif,Nb4,yes,yes,"[['P1', 1]]",Nb8,P4,1,P1,Nb6,Nb3,,,,,,
181,"Nb5P3,oP64,62",1825491.cif,Nb2,yes,yes,"[['P1', 1]]",Nb6P2,Nb2P2,1,P1,Nb6,Nb3,,,,,,
396,"Ti45Se16,mS122,12",1003626.cif,Ti9,yes,yes,"[['Se1', 1]]",Ti6Se2,Ti3Se,1,Se1,Ti6,Ti3,,,,,,
285,"Ca2NiSn2,oP20,59",1229707.cif,Ca1,yes,yes,"[['Sn2', 1]]",Sn4Ca2Ni2,Ca2Sn2,1,Sn2,Ca6,Ca2Sn,,,,,,
544,"U2Ru12Si7,oP84,62",1008398.cif,Ru4,yes,yes,"[['Si4', 1]]",Ru6Si2,Si2RuU,1,Si4,Ru6,Ru3,,,,,,
397,"Ti45Se16,mS122,12",1003626.cif,Ti19,yes,yes,"[['Se1', 1]]",Ti8,Se2Ti2,1,Se1,Ti6,Ti3,,,,,,
283,"Ca2NiSn2,oP20,59",1229707.cif,Ni,yes,yes,"[['Sn3', 1]]",Ca4Ni2Sn2,Ca2Sn2,1,Sn3,Ca6,Ni2Sn,,,,,,
794,"Eu3Ga5,oS32,38",1251360.cif,Ga3,yes,yes,"[['Ga6', 1]]",Eu4Ga4,Eu2Ga2,1,Ga6,Eu6,Ga2Eu,,,,,,
278,"Ce9Ni26P12,hP47,187",1007532.cif,Ni2,yes,yes,"[['P1', 1]]",Ni4Ce2P2,Ni2CeP,1,P1,Ce4Ni2,Ni3,,,,,,
553,"Ce6Pt11In14,mS62,12",1200388.cif,In7,yes,yes,"[['Pt2', 1]]",In4Ce2Pt2,Ce2Pt2,1,Pt2,Ce4In2,In3,,,,,,
276,"LaNi3In6,oP20,59",1233862.cif,In3,yes,yes,"[['Ni1', 1]]",In4La2Ni2,In2LaNi,1,Ni1,In4La2,In3,,,,,,
398,"Ti45Se16,mS122,12",1003626.cif,Ti18,yes,yes,"[['Se3', 1]]",Ti8,Se2Ti2,1,Se3,Ti6,Ti3,,,,,,
557,"Mo2Ni6P3,oP22,59",1614038.cif,Ni2,yes,yes,"[['P1', 1]]",Ni4Mo2P2,Ni3P,1,P1,Ni4Mo2,Ni2Mo,,,,,,
572,"Tb15Ni28P21,hP128,176",1803040.cif,P1,yes,yes,"[['Ni10', 1]]",Tb4Ni2P2,Ni3Tb,1,Ni10,Tb6,P3,,,,,,
272,"Cu2Yb4Sn5,oP22,59",1904236.cif,Sn2,yes,yes,"[['Cu4', 1]]",Sn4Cu2Yb2,Yb3Cu,1,Cu4,Yb4Sn2,Sn3,,,,,,
64,"Tb4RhInGe4,mS40,12",1642163.cif,Ge4,yes,yes,"[['Ge1', 1]]",Tb4Ge2Rh2,Tb2GeRh,1,Ge1,Tb6,In2Ge,,,,,,
57,"Nd2Ni7P4,oP26,31",1615302.cif,Ni6,yes,yes,"[['P4', 1]]",Ni4Nd2P2,P2NdNi,1,P4,Nd4Ni2,Ni3,,,,,,
56,"Nd2Ni7P4,oP26,31",1615302.cif,Ni4,yes,yes,"[['P4', 1]]",Ni4Nd2P2,P2NdNi,1,P4,Nd4Ni2,Ni3,,,,,,
46,"LiCa2Si3,oP24,58",1703291.cif,Li,yes,yes,"[['Si3', 1]]",Ca4Si4,Ca3Si,1,Si3,Ca6,Si2Li,,,,,,
44,"KBa2Cd2Sb3,oP32,62",1931232.cif,Cd2,yes,yes,"[['Sb3', 1]]",Ba6Sb2,Sb3K,1,Sb3,Ba4K2,Cd2K,,,,,,
223,"Yb7Co4InGe12,tP24,83",1323301.cif,Ge2,yes,yes,"[['Ge1', 1]]",Ge4Yb4,Co2GeYb,1,Ge1,Yb6,CoGeIn,,,,,,
237,"PrNiIn2,oS80,63",1000824.cif,In3,yes,yes,"[['Ni1', 1]]",In4Ni2Pr2,Pr2InNi,1,Ni1,In4Pr2,In2Pr,,,,,,
267,"Sc3NiSi3,mS28,12",1406743.cif,Sc2,yes,yes,"[['Si3', 1]]",Si4Ni2Sc2,Sc2Si2,1,Si3,Sc6,NiScSi,,,,,,
266,"Sc3NiSi3,mS28,12",1406743.cif,Ni,yes,yes,"[['Si3', 1]]",Sc4Ni2Si2,Sc2Si2,1,Si3,Sc6,NiScSi,,,,,,
22,"Ho4Ni2InGe4,mS22,12",1211963.cif,Ni,yes,yes,"[['Ge2', 1]]",Ho4Ge2Ni2,Ge2Ho2,1,Ge2,Ho6,GeInNi,,,,,,
258,"Tb8Ni18P11,hP74,187",1406252.cif,Ni9,yes,yes,"[['P6', 1]]",Ni4P2Tb2,Ni2PTb,1,P6,Tb4Ni2,Ni3,,,,,,
256,"Y2AlGe3,oP24,62",1947749.cif,Al1,yes,yes,"[['Ge2', 1]]",Y4Al2Ge2,Ge3Y,1,Ge2,Y6,Ge2Al,,,,,,
254,"Sc3Ni2Si4,oP36,62",1000561.cif,Ni1,yes,yes,"[['Si4', 1]]",Sc4Ni2Si2,Sc2Si2,1,Si4,Sc6,Ni2Si,,,,,,
651,"Er17Ru6Te3,mS104,12",1220943.cif,Er4,yes,yes,"[['Te1', 1]]",Er6Ru2,Er2RuTe,1,Te1,Er6,Er3,,,,,,
566,"U6Fe22Ge13,oP82,55",1142619.cif,Fe1,yes,yes,"[['Ge4', 1]]",U4Fe2Ge2,Fe2Ge2,1,Ge4,U4Fe2,Fe3,,,,,,
372,"Li7Eu4Bi6,mS34,12",1641867.cif,Li2,yes,yes,"[['Bi1', 1]]",Eu4Bi2Li2,Bi2EuLi,1,Bi1,Eu6,Li2Bi,,,,,,
791,"Eu3Ga5,oS32,38",1251360.cif,Ga2,yes,yes,"[['Ga5', 1]]",Eu4Ga4,Eu2Ga2,1,Ga5,Eu6,Ga2Eu,,,,,,
482,"UCr5P3,mP18,11",1831614.cif,Cr3,yes,yes,"[['P3', 1]]",Cr4P2U2,P2CrU,1,P3,Cr4U2,Cr3,,,,,,
673,"Eu10Ni21As15.5,hP92,176",1928382.cif,As4,yes,yes,"[['Ni3', 1]]",Eu4As2Ni2,Ni3Eu,1,Ni3,Eu6,As3,,,,,,
236,"PrNiIn2,oS80,63",1000824.cif,In2,yes,yes,"[['Ni1', 1]]",Pr4In2Ni2,In2NiPr,1,Ni1,In4Pr2,In2Pr,,,,,,
32,"Sc2CoSi2,mS20,12",1005491.cif,Co1,yes,yes,"[['Si2', 1]]",Sc4Co2Si2,Sc2Si2,1,Si2,Sc6,CoScSi,,,,,,
235,"PrNiIn2,oS80,63",1000824.cif,In4,yes,yes,"[['Ni2', 1]]",Pr6Ni2,In3Ni,1,Ni2,Pr4In2,In3,,,,,,
217,"Ho4Ir13Ge9,oP52,59",1233571.cif,Ir1,yes,yes,"[['Ge6', 1]]",Ir4Ge2Ho2,Ge2HoIr,1,Ge6,Ho4Ir2,Ir3,,,,,,
216,"Ho4Ir13Ge9,oP52,59",1233571.cif,Ir7,yes,yes,"[['Ge3', 1]]",Ir4Ge2Ho2,Ge2HoIr,1,Ge3,Ir4Ho2,Ir3,,,,,,
215,"Ho4Ir13Ge9,oP52,59",1233571.cif,Ir2,yes,yes,"[['Ge5', 1]]",Ir4Ge2Ho2,Ge2HoIr,1,Ge5,Ho4Ir2,Ir3,,,,,,
213,"LaCo8P5,oP28,59",1407031.cif,Co4,yes,yes,"[['P3', 1]]",Co4P4,Co2LaP,1,P3,Co6,Co3,,,,,,
779,"CuMn3As2,oP24,62",1832843.cif,Mn3,yes,yes,"[['As2', 1]]",As4Mn4,Mn2AsCu,1,As2,Mn4Cu2,Mn2Cu,,,,,,
369,"Ce3Pd4Sn6,oP52,62",1004570.cif,Sn5,yes,yes,"[['Pd1', 1]]",Ce4Sn4,Pd3Ce,1,Pd1,Ce4Sn2,Sn3,,,,,,
742,"Ca3Pd4Bi8,oP30,55",1708643.cif,Bi4,yes,yes,"[['Pd1', 1]]",Ca4Bi2Pd2,Bi3Pd,1,Pd1,Bi4Ca2,Bi2Pd,,,,,,
741,"Ca3Pd4Bi8,oP30,55",1708643.cif,Bi1,yes,yes,"[['Pd1', 1]]",Ca4Bi2Pd2,Bi3Pd,1,Pd1,Bi4Ca2,Bi2Pd,,,,,,
331,"Yb2Pt3Sn5,oP40,62",1253042.cif,Sn2,yes,yes,"[['Pt2', 1]]",Sn4Pt2Yb2,Yb2PtSn,1,Pt2,Sn4Yb2,Sn2Yb,,,,,,
643,"Er5Ni3Al3Ge4,oP30,59",1910334.cif,Al1,yes,yes,"[['Ge2', 1]]",Er6Ni2,Al2Ge2,1,Ge2,Er6,Al2Ni,,,,,,
341,"Tb6Pt12In23,mS82,12",1711843.cif,In7,yes,yes,"[['Pt6', 1]]",In4Pt2Tb2,Pt2InTb,1,Pt6,In4Tb2,In3,,,,,,
649,"Er17Ru6Te3,mS104,12",1220943.cif,Er5,yes,yes,"[['Te1', 1]]",Er6Ru2,Er2RuTe,1,Te1,Er6,Er3,,,,,,
342,"Tb6Pt12In23,mS82,12",1711843.cif,In8,yes,yes,"[['Pt3', 1]]",In4Pt2Tb2,Pt2InTb,1,Pt3,In4Tb2,In3,,,,,,
209,"Yb6Co30P19,hP55,174",1407131.cif,Co3,yes,yes,"[['P5', 1]]",Co4P2Yb2,P2CoYb,1,P5,Co4Yb2,Co3,,,,,,
208,"Yb6Co30P19,hP55,174",1407131.cif,Co7,yes,yes,"[['P3', 1]]",Co4P2Yb2,P2CoYb,1,P3,Co4Yb2,Co3,,,,,,
234,"PrNiIn2,oS80,63",1000824.cif,In6,yes,yes,"[['Ni2', 1]]",Pr4In2Ni2,In2NiPr,1,Ni2,Pr4In2,In3,,,,,,
480,"UCr5P3,mP18,11",1831614.cif,Cr1,yes,yes,"[['P3', 1]]",Cr4P2U2,P2CrU,1,P3,Cr4U2,Cr3,,,,,,
891,"Ca6Cu2Sn7,mS30,12",1420141.cif,Sn3,yes,yes,"[['Cu1', 1]]",Sn4Ca2Cu2,Ca3Cu,1,Cu1,Ca4Sn2,Sn3,,,,,,
432,"La4Co3Al3,oS20,38",1651336.cif,Al2,yes,yes,"[['Co2', 1]]",Co4La4,Al2CoLa,1,Co2,La6,Al3,,,,,,
1077,"Sr3In4Pb,oS32,63",1711607.cif,InM2,yes,yes,"[['PbM1', 1]]",In4Sr4,Sr2InPb,1,PbM1,Sr6,In2Sr,,,,,,
602,"ErNi3Ge2,hP72,174",1406536.cif,Er5,yes,yes,"[['Ge3', 1]]",Ge4Ni4,Ge2Ni2,1,Ge3,Ni4Er2,Ni2Er,,,,,,
371,"Li7Eu4Bi6,mS34,12",1641867.cif,Li1,yes,yes,"[['Bi1', 1]]",Eu4Bi2Li2,Bi2EuLi,1,Bi1,Eu6,Li2Bi,,,,,,
784,"BaRh3Pb6,oS40,63",462240.cif,Pb2,yes,yes,"[['Rh2', 1]]",Pb4Ba2Rh2,Pb2BaRh,1,Rh2,Pb4Rh2,Pb3,,,,,,
370,"Ce3Pd4Sn6,oP52,62",1004570.cif,Sn6,yes,yes,"[['Pd1', 1]]",Sn4Ce2Pd2,Ce2Pd2,1,Pd1,Ce4Sn2,Sn3,,,,,,
568,"Tb15Ni28P21,hP128,176",1803040.cif,Ni7,yes,yes,"[['P3', 1]]",Ni4P2Tb2,P2Tb2,1,P3,Tb4Ni2,Ni3,,,,,,
569,"Tb15Ni28P21,hP128,176",1803040.cif,P3,yes,yes,"[['Ni9', 1]]",Tb4Ni2P2,Ni3Tb,1,Ni9,Tb6,P3,,,,,,
204,"Yb6Co30P19,hP55,174",1407131.cif,Co8,yes,yes,"[['P4', 1]]",Co4P2Yb2,P2CoYb,1,P4,Co4Yb2,Co3,,,,,,
253,"Sc3Ni2Si4,oP36,62",1000561.cif,Si2,yes,yes,"[['Si3', 1]]",Sc4Ni2Si2,Sc2NiSi,1,Si3,Sc6,Si2Ni,,,,,,
251,"LuNiSn2,oP48,62",301824.cif,Ni3,yes,yes,"[['Sn3', 1]]",Lu4Ni2Sn2,Sn3Lu,1,Sn3,Lu6,Ni3,,,,,,
750,"U6Co30Si19,hP110,176",1406973.cif,Co4,yes,yes,"[['Si6', 1]]",Co4Si2U2,Si2CoU,1,Si6,Co4U2,Co3,,,,,,
1072,"Mg5NdNi,oS28,63",1637795.cif,Mg2,yes,yes,"[['Ni1', 1]]",Mg6Nd2,Mg3Ni,1,Ni1,Mg4Nd2,Mg2Nd,,,,,,
1071,"Nb9PdAs7,hP51,174",1110836.cif,Pd,yes,yes,"[['As9', 1]]",Nb6As2,As2Nb2,1,As9,Nb6,Pd3,,,,,,
508,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Li3B,yes,yes,"[['Ge3', 1]]",Ge2Li2Mg2Sr2,Ge2Sr2,1,Ge3,Sr4Li2,Li2Ge,,,,,,
512,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Mg1,yes,yes,"[['Ge1', 1]]",Ge2Li2Mg2Sr2,Ge2Sr2,1,Ge1,Sr4Mg2,Mg2Ge,,,,,,
1017,"Yb3CoSn6,oS40,63",1219677.cif,Sn3,yes,yes,"[['Sn4', 1]]",Yb6Sn2,Sn4,1,Sn4,Yb6,Sn2Co,,,,,,
427,"Pr3Rh4Ge4,mS44,12",1724107.cif,Ge3,yes,yes,"[['Rh3', 1]]",Pr4Ge2Rh2,Rh3Pr,1,Rh3,Pr4Ge2,Pr2Ge,,,,,,
1040,"ThNi,oP16,62",1122262.cif,Ni3,yes,yes,"[['Ni4', 1]]",Ni4Th4,Th3Ni,1,Ni4,Th4Ni2,Th3,,,,,,
763,"Ce3Pt4Al6,oP52,62",1627178.cif,Al6,yes,yes,"[['Pt2', 1]]",Ce4Al2Pt2,Pt2AlCe,1,Pt2,Ce4Al2,Al3,,,,,,
748,"U6Co30Si19,hP110,176",1406973.cif,Co6,yes,yes,"[['Si4', 1]]",Co4Si2U2,Si2CoU,1,Si4,Co4U2,Co3,,,,,,
765,"Ce2Ru2In3,oP28,62",1216500.cif,In1,yes,yes,"[['Ru1', 1]]",Ce4In2Ru2,Ru2CeIn,1,Ru1,Ce4In2,In2Ce,,,,,,
746,"U6Co30Si19,hP110,176",1406973.cif,Co7,yes,yes,"[['Si6', 1]]",Co4Si2U2,Si2CoU,1,Si6,Co4U2,Co3,,,,,,
767,"Ce2Ru2In3,oP28,62",1216500.cif,In3,yes,yes,"[['Ru1', 1]]",Ce4In2Ru2,Ce2InRu,1,Ru1,Ce4In2,In2Ce,,,,,,
745,"U6Co30Si19,hP110,176",1406973.cif,Co8,yes,yes,"[['Si4', 1]]",Co4Si2U2,Si2CoU,1,Si4,Co4U2,Co3,,,,,,
674,"Eu10Ni21As15.5,hP92,176",1928382.cif,Ni1,yes,yes,"[['As3', 1]]",Ni4As2Eu2,As2Eu2,1,As3,Ni4Eu2,Ni3,,,,,,
210,"LaCo8P5,oP28,59",1407031.cif,Co1,yes,yes,"[['P3', 1]]",Co6P2,P2CoLa,1,P3,Co6,Co3,,,,,,
412,"La3Ni12P7,oS88,36",1803976.cif,Ni6,yes,yes,"[['P3', 1]]",Ni4La2P2,P2LaNi,1,P3,La4Ni2,Ni3,,,,,,
414,"La3Ni12P7,oS88,36",1803976.cif,Ni8,yes,yes,"[['P5', 1]]",Ni4La2P2,P2LaNi,1,P5,Ni4La2,Ni3,,,,,,
418,"La4Co2Sn5,mS22,12",1840230.cif,Co1,yes,yes,"[['Sn2', 1]]",La4Co2Sn2,Sn3La,1,Sn2,La6,CoLaSn,,,,,,
420,"La4Co2Sn5,mS22,12",1840230.cif,La2,yes,yes,"[['Sn2', 1]]",Sn4Co2La2,Sn3La,1,Sn2,La6,CoLaSn,,,,,,
422,"Zr2P,oS108,65",1251259.cif,Zr5,yes,yes,"[['P4', 1]]",Zr6P2,Zr3P,1,P4,Zr6,Zr3,,,,,,
424,"Zr2P,oS108,65",1251259.cif,Zr9,yes,yes,"[['P5', 1]]",Zr8,P3Zr,1,P5,Zr6,Zr3,,,,,,
1022,"Eu5Ga9,oS56,63",1003249.cif,Ga1,yes,yes,"[['Ga5', 1]]",Eu4Ga4,Eu2Ga2,1,Ga5,Eu6,Ga2Eu,,,,,,
517,"Sr2Pd3P3,oP32,47",1703010.cif,P4,yes,yes,"[['P2', 1]]",Sr4P2Pd2,Pd2PSr,1,P2,Sr6,Pd2P,,,,,,
392,"(Ta0.89Ni0.11)Ni2P,oP16,62",1052753.cif,Ni1,yes,yes,"[['P', 1]]",Ta4Ni2P2,Ni2PTa,1,P,Ni5Ta,Ta2Ni,,,,,,
338,"Tb6Pt12In23,mS82,12",1711843.cif,In3,yes,yes,"[['Pt2', 1]]",In4Pt2Tb2,Pt2InTb,1,Pt2,In4Tb2,In2Tb,,,,,,
382,"Ba6Mg17Eu3Si13,hP39,174",1150374.cif,Mg4,yes,yes,"[['Si1', 1]]",Mg4Ba2Si2,Si2BaEu,1,Si1,Ba4Mg2,Mg3,,,,,,
378,"YNiAl3,oP20,62",1406353.cif,Al1,yes,yes,"[['Ni', 1]]",Al4Ni2Y2,Al2NiY,1,Ni,Al4Y2,Al3,,,,,,
758,"Ce3Pt4Al6,oP52,62",1627178.cif,Al2,yes,yes,"[['Pt2', 1]]",Al4Ce2Pt2,Ce2Pt2,1,Pt2,Ce4Al2,Al3,,,,,,
759,"Ce3Pt4Al6,oP52,62",1627178.cif,Pt1,yes,yes,"[['Al3', 1]]",Ce4Al2Pt2,Al3Ce,1,Al3,Ce6,Pt2Al,,,,,,
