,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
650,"Er17Ru6Te3,mS104,12",1220943.cif,Er2,yes,yes,"[['Te1', 1], ['Ru1', 1]]",Er6Ru2,Er2RuTe,2,Te1,Er6,Er3,Ru1,Er6,Er3,,,
648,"Er17Ru6Te3,mS104,12",1220943.cif,Er16,yes,yes,"[['Ru1', 1], ['Te3', 1]]",Er6Ru2,Er2RuTe,2,Ru1,Er6,Er3,Te3,Er6,Er3,,,
646,"Er17Ru6Te3,mS104,12",1220943.cif,Er14,yes,yes,"[['Ru5', 1], ['Te3', 1]]",Er6Ru2,Er2RuTe,2,Ru5,Er6,Er2Ru,Te3,Er6,Er3,,,
645,"Er17Ru6Te3,mS104,12",1220943.cif,Er8,yes,yes,"[['Ru4', 1], ['Te2', 1]]",Er6Ru2,Er2RuTe,2,Ru4,Er6,Er2Ru,Te2,Er6,Er3,,,
133,"TbGe2,oS24,65",1007801.cif,Tb2,yes,yes,"[['Ge2', 2]]",Ge6Tb2,Ge4,2,Ge2,Tb4Ge2,Tb2Ge,,,,,,
706,"Sm5Pt7Sn9,oS42,38",1431676.cif,Sn4,yes,yes,"[['Pt4', 2]]",Sm4Pt2Sn2,Pt2SmSn,2,Pt4,Sm4Sn2,Sn3,,,,,,
778,"CuMn3As2,oP24,62",1832843.cif,Cu1,yes,yes,"[['As1', 1], ['As2', 1]]",Mn4As2Cu2,As2Mn2,2,As1,Mn6,Mn2Cu,As2,Mn4Cu2,Mn2Cu,,,
214,"Ho4Ir13Ge9,oP52,59",1233571.cif,Ir6,yes,yes,"[['Ge6', 1], ['Ge2', 1]]",Ir4Ge2Ho2,Ge2Ho2,2,Ge6,Ho4Ir2,Ir3,Ge2,Ir4Ho2,Ir3,,,
218,"Ho4Ir13Ge9,oP52,59",1233571.cif,Ir5,yes,yes,"[['Ge3', 2]]",Ir4Ge2Ho2,Ge2Ho2,2,Ge3,Ir4Ho2,Ir3,,,,,,
219,"Cu4Zr3Si2,hP9,189",460639.cif,Cu1,yes,yes,"[['Si', 2]]",Zr6Cu2,Cu2Si2,2,Si,Zr6,Cu3,,,,,,
220,"Cu4Tm3Sn4,mS22,12",1903061.cif,Cu1,yes,yes,"[['Sn2', 1], ['Sn1', 1]]",Tm4Cu2Sn2,Sn2CuTm,2,Sn2,Tm6,Cu2Sn,Sn1,Cu4Tm2,Cu2Tm,,,
205,"Yb6Co30P19,hP55,174",1407131.cif,Co6,yes,yes,"[['P6', 1], ['P4', 1]]",Co4P2Yb2,P2CoYb,2,P6,Co4Yb2,Co3,P4,Co4Yb2,Co3,,,
27,"LaCoAl4,oP12,51",1000452.cif,Al3,yes,yes,"[['Co', 2]]",Al8,Co2La2,2,Co,Al6,Al2La,,,,,,
780,"CuMn3As2,oP24,62",1832843.cif,Mn1,yes,yes,"[['As1', 1], ['As2', 1]]",Mn4As2Cu2,As2Mn2,2,As1,Mn6,Mn2Cu,As2,Mn4Cu2,Mn2Cu,,,
781,"Yb4Mn2Sn5,mS22,12",1219678.cif,Mn1,yes,yes,"[['Sn1', 1], ['Sn3', 1]]",Yb4Mn2Sn2,Sn2Yb2,2,Sn1,Yb6,Sn2Mn,Sn3,Yb4Mn2,MnSnYb,,,
571,"Tb15Ni28P21,hP128,176",1803040.cif,Ni3,yes,yes,"[['P7', 1], ['P1', 1]]",Ni4P2Tb2,P2NiTb,2,P7,Ni4Tb2,Ni3,P1,Tb4Ni2,Ni3,,,
558,"Mo2Ni6P3,oP22,59",1614038.cif,Ni3,yes,yes,"[['P1', 2]]",Mo4Ni2P2,Ni2P2,2,P1,Ni4Mo2,Ni2Mo,,,,,,
277,"Ce9Ni26P12,hP47,187",1007532.cif,Ni1,yes,yes,"[['P2', 1], ['P3', 1]]",Ni4Ce2P2,Ce2P2,2,P2,Ni4Ce2,Ni3,P3,Ce4Ni2,Ni3,,,
744,"Ca3Pd4Bi8,oP30,55",1708643.cif,Ca1,yes,yes,"[['Pd2', 2]]",Bi8,Bi2Pd2,2,Pd2,Bi6,Ca3,,,,,,
279,"Ce9Ni26P12,hP47,187",1007532.cif,Ni6,yes,yes,"[['P1', 2]]",Ni4Ce2P2,Ce2P2,2,P1,Ce4Ni2,Ni3,,,,,,
644,"Er5Ni3Al3Ge4,oP30,59",1910334.cif,Al2,yes,yes,"[['Ge2', 2]]",Er6Ni2,Al2Ge2,2,Ge2,Er6,Al2Ni,,,,,,
105,"KAgCeTe4,mP14,6",1623484.cif,Te5,yes,yes,"[['Ce1', 2]]",Te6K2,Ce2Te2,2,Ce1,Te6,Te3,,,,,,
813,"Cs2S,oP12,62",1250660.cif,CsII,yes,yes,"[['S', 2]]",Cs6S2,Cs2S2,2,S,Cs6,Cs3,,,,,,
446,"Sm25Ni49P33,hP107,187",1810860.cif,Ni5,yes,yes,"[['P6', 2]]",Ni4P2Sm2,P2Sm2,2,P6,Sm4Ni2,Ni3,,,,,,
442,"Sm25Ni49P33,hP107,187",1810860.cif,Ni9,yes,yes,"[['P6', 1], ['P7', 1]]",Ni4P2Sm2,P2Sm2,2,P6,Sm4Ni2,Ni3,P7,Sm4Ni2,Ni3,,,
838,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg1,yes,yes,"[['Cu2', 1], ['Cu1', 1]]",Y6Cu2,Cu2Mg2,2,Cu2,Y4Mg2,Mg3,Cu1,Y4Mg2,Mg3,,,
70,"Mg5Si6-a,mS22,12",1123566.cif,Si3,yes,yes,"[['Si1', 1], ['Si2', 1]]",Mg4Si4,Mg2Si2,2,Si1,Mg6,Si2Mg,Si2,Mg4Si2,Mg2Si,,,
199,"Mg5Si6,mS22,8",1123564.cif,Mg1,yes,yes,"[['Si6', 1], ['Si5', 1]]",Mg8,Si4,2,Si6,Mg6,Si2Mg,Si5,Mg4Si2,Mg2Si,,,
168,"YCo5P3,oP36,62",1612283.cif,Co4,yes,yes,"[['P3', 1], ['P1', 1]]",Co4P2Y2,P2CoY,2,P3,Co4Y2,Co3,P1,Co4Y2,Co3,,,
113,"Zr6Ni20P13,hP39,174",461916.cif,NiVI,yes,yes,"[['PV', 1], ['PIII', 1]]",Ni6P2,P2NiZr,2,PV,Ni6,Ni3,PIII,Ni4Zr2,Ni3,,,
112,"Zr6Ni20P13,hP39,174",461916.cif,NiII,yes,yes,"[['PIV', 1], ['PII', 1]]",Ni4P2Zr2,P2NiZr,2,PIV,Ni4Zr2,Ni3,PII,Zr4Ni2,Ni3,,,
111,"Zr6Ni20P13,hP39,174",461916.cif,NiIV,yes,yes,"[['PIV', 1], ['PII', 1]]",Ni4P2Zr2,P2Zr2,2,PIV,Ni4Zr2,Ni3,PII,Zr4Ni2,Ni3,,,
159,"Mg5Dy5Fe4Al12Si6,tP32,123",1634042.cif,Si2,yes,yes,"[['Fe1', 2]]",Al8,Dy2Fe2,2,Fe1,Al4Si2,Mg2Si,,,,,,
109,"KAgCeTe4,mP14,6",1623484.cif,Te8,yes,yes,"[['Ce2', 2]]",Te6K2,Ce2Te2,2,Ce2,Te6,Te3,,,,,,
148,"Mn5Rh6Bi18,tP58,136",1962885.cif,Mn1,yes,yes,"[['Rh1', 2]]",Bi4Mn2Rh2,Bi2Rh2,2,Rh1,Bi4Mn2,Bi2Mn,,,,,,
514,"(Li~0.18~Mg~0.82~)~3~Sr~3~Mg~2~Ge~5~,oP52,62",1903768.cif,Li4B,yes,yes,"[['Ge3', 1], ['Ge4', 1]]",Sr4Ge2Li2,Ge2LiSr,2,Ge3,Sr4Li2,Li2Ge,Ge4,Sr4Mg2,Li2Mg,,,
679,"Cu4GdMnP3,oP36,62",1641640.cif,Cu4,yes,yes,"[['P3', 1], ['P2', 1]]",Cu2Gd2Mn2P2,P2CuGd,2,P3,Cu2Gd2Mn2,Cu3,P2,Cu2Gd2Mn2,Cu3,,,
716,"La2Fe25P12,oP78,55",1406880.cif,Fe11,yes,yes,"[['P5', 1], ['P6', 1]]",Fe6P2,P2FeLa,2,P5,Fe6,Fe3,P6,Fe6,Fe3,,,
680,"Tb6FeBi2,mP9,6",1830917.cif,Tb12,yes,yes,"[['Bi2', 1], ['Bi1', 1]]",Tb6Fe2,Bi2Tb2,2,Bi2,Tb6,Tb3,Bi1,Tb6,Tb3,,,
